Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Turkey	27069	574	1042	25453	0.00032883	6.97e-06	191333.333333	88307.6923077	57400	0.00232333333333	0.00107230769231	0.000697	181445	0.002151
Italy	128948	15887	21815	91246	0.0021338	0.00026289	5295666.66667	2444153.84615	1588700	0.08763	0.0404446153846	0.026289	691461	0.011436
Czech Republic	4587	67	96	4424	0.00043169	6.31e-06	22333.3333333	10307.6923077	6700	0.00210333333333	0.000970769230769	0.000631	80304	0.007499
Monaco	73	1	3	69	0.00188718	2.585e-05	333.333333333	153.846153846	100	0.00861666666667	0.00397692307692	0.002585	NA	NA
Lithuania	811	13	7	791	0.00029073	4.66e-06	4333.33333333	2000	1300	0.00155333333333	0.000716923076923	0.000466	23645	0.008686
Luxembourg	2804	36	500	2268	0.00461391	5.924e-05	12000	5538.46153846	3600	0.0197466666667	0.00911384615385	0.005924	23687	0.03784
France	93773	8093	16349	69331	0.00139986	0.00012081	2697666.66667	1245076.92308	809300	0.04027	0.0185861538462	0.012081	224254	0.003436
Andorra	501	18	26	457	0.00650599	0.00023375	6000	2769.23076923	1800	0.0779166666667	0.0359615384615	0.023375	NA	NA
Switzerland	21100	715	6415	13970	0.00247753	8.395e-05	238333.333333	110000	71500	0.0279833333333	0.0129153846154	0.008395	158000	0.018256
Georgia	174	2	36	136	4.664e-05	5.4e-07	666.666666667	307.692307692	200	0.00018	8.30769230769e-05	5.4e-05	2762	6.92e-4
Slovakia	485	1	10	474	8.904e-05	1.8e-07	333.333333333	153.846153846	100	6e-05	2.76923076923e-05	1.8e-05	15155	0.002776
Ireland	4994	158	25	4811	0.00102895	3.255e-05	52666.6666667	24307.6923077	15800	0.01085	0.00500769230769	0.003255	30213	0.006119
Norway	5687	71	32	5584	0.00107012	1.336e-05	23666.6666667	10923.0769231	7100	0.00445333333333	0.00205538461538	0.001336	105865	0.019528
Israel	8430	49	477	7904	0.00094892	5.52e-06	16333.3333333	7538.46153846	4900	0.00184	0.000849230769231	0.000552	90394	0.010443
Belarus	562	8	52	502	5.925e-05	8.4e-07	2666.66666667	1230.76923077	800	0.00028	0.000129230769231	8.4e-05	32000	0.003386
Iceland	1486	4	428	1054	0.0042028	1.131e-05	1333.33333333	615.384615385	400	0.00377	0.00174	0.001131	25394	0.074416
Montenegro	214	2	1	211	0.00034386	3.21e-06	666.666666667	307.692307692	200	0.00107	0.000493846153846	0.000321	1583	0.00252
Slovenia	997	28	79	890	0.00048225	1.354e-05	9333.33333333	4307.69230769	2800	0.00451333333333	0.00208307692308	0.001354	27764	0.013355
Germany	100123	1584	28700	69839	0.00120735	1.91e-05	528000	243692.307692	158400	0.00636666666667	0.00293846153846	0.00191	918460	0.010962
Bosnia and Herzegovina	654	23	30	601	0.00019676	6.92e-06	7666.66666667	3538.46153846	2300	0.00230666666667	0.00106461538462	0.000692	5349	0.00163
Armenia	822	7	57	758	0.00027848	2.37e-06	2333.33333333	1076.92307692	700	0.00079	0.000364615384615	0.000237	4666	0.001575
Belgium	19691	1447	3751	14493	0.00172394	0.00012668	482333.333333	222615.384615	144700	0.0422266666667	0.0194892307692	0.012668	70000	0.00604
Spain	131646	12641	38080	80925	0.00281754	0.00027055	4213666.66667	1944769.23077	1264100	0.0901833333333	0.0416230769231	0.027055	355000	0.007593
Ukraine	1308	37	28	1243	2.931e-05	8.3e-07	12333.3333333	5692.30769231	3700	0.000276666666667	0.000127692307692	8.3e-05	5493	1.26e-4
San Marino	266	32	35	199	0.00787332	0.00094717	10666.6666667	4923.07692308	3200	0.315723333333	0.145718461538	0.094717	586	0.01727
Netherlands	17953	1771	257	15925	0.0010419	0.00010278	590333.333333	272461.538462	177100	0.03426	0.0158123076923	0.010278	75415	0.004401
Denmark	4561	179	1429	2953	0.00078673	3.088e-05	59666.6666667	27538.4615385	17900	0.0102933333333	0.00475076923077	0.003088	49249	0.008503
Poland	4102	94	134	3874	0.00010801	2.48e-06	31333.3333333	14461.5384615	9400	0.000826666666667	0.000381538461538	0.000248	80757	0.002134
Finland	1927	28	300	1599	0.00034922	5.07e-06	9333.33333333	4307.69230769	2800	0.00169	0.00078	0.000507	31714	0.005724
Macedonia	555	18	23	514	0.00026645	8.64e-06	6000	2769.23076923	1800	0.00288	0.00132923076923	0.000864	NA	NA
Moldova	864	15	30	819	0.00024366	4.23e-06	5000	2307.69230769	1500	0.00141	0.000650769230769	0.000423	NA	NA
Liechtenstein	77	1	0	76	0.00203113	2.638e-05	333.333333333	153.846153846	100	0.00879333333333	0.00405846153846	0.002638	900	0.023605
Latvia	533	1	1	531	0.00027666	5.2e-07	333.333333333	153.846153846	100	0.000173333333333	8e-05	5.2e-05	20680	0.010964
Croatia	1182	15	125	1042	0.00028904	3.67e-06	5000	2307.69230769	1500	0.00122333333333	0.000564615384615	0.000367	10847	0.002642
Malta	227	0	5	222	0.00046946	0.0	1135	454	283.75	0.0023473	0.00093892	0.000586825	10358	0.023459
Vatican	7	0	0	7	0.00873908	0.0	35	14	8.75	0.0436954	0.01747816	0.01092385	NA	NA
Sweden	6830	401	205	6224	0.00067071	3.938e-05	133666.666667	61692.3076923	40100	0.0131266666667	0.00605846153846	0.003938	36900	0.003654
