Name	Confirmed	Deaths	Recovered	Active
Wilson	6	0	0	0
Blount	2	0	0	0
Shelby	93	0	0	0
Union	0	0	0	0
Humphreys	0	0	0	0
Montgomery	3	0	0	0
Wayne	0	0	0	0
Robertson	6	0	0	0
White	0	0	0	0
Hamblen	3	0	0	0
Henderson	0	0	0	0
Weakley	1	0	0	0
Dickson	5	0	0	0
Bedford	0	0	0	0
Obion	0	0	0	0
Smith	0	0	0	0
Hancock	0	0	0	0
Henry	0	0	0	0
Trousdale	0	0	0	0
Moore	0	0	0	0
Sullivan	2	0	0	0
Maury	6	0	0	0
Washington	6	0	0	0
Bradley	1	0	0	0
Marion	1	0	0	0
Hickman	0	0	0	0
Polk	0	0	0	0
Warren	0	0	0	0
Perry	2	0	0	0
Jackson	0	0	0	0
Anderson	1	0	0	0
Jefferson	3	0	0	0
Rhea	0	0	0	0
Hardin	1	0	0	0
Putnam	6	0	0	0
Coffee	0	0	0	0
Sevier	1	0	0	0
Crockett	0	0	0	0
Hamilton	12	0	0	0
Lauderdale	0	0	0	0
Johnson	0	0	0	0
Rutherford	9	0	0	0
Greene	4	0	0	0
Chester	1	0	0	0
Overton	0	0	0	0
Clay	0	0	0	0
McMinn	2	0	0	0
Gibson	1	0	0	0
Macon	0	0	0	0
Madison	0	0	0	0
Grainger	0	0	0	0
Hawkins	0	0	0	0
Meigs	0	0	0	0
Davidson	164	2	0	0
Cheatham	4	0	0	0
Bledsoe	0	0	0	0
Lawrence	0	0	0	0
Fayette	2	0	0	0
Claiborne	1	0	0	0
Lincoln	1	0	0	0
Franklin	1	0	0	0
Dyer	2	0	0	0
Sumner	34	0	0	0
Marshall	0	0	0	0
Carroll	2	0	0	0
Unassigned	54	0	0	0
Grundy	0	0	0	0
Campbell	2	0	0	0
Hardeman	0	0	0	0
Sequatchie	0	0	0	0
Cumberland	2	0	0	0
De Kalb	0	0	0	0
McNairy	0	0	0	0
Lake	0	0	0	0
Roane	1	0	0	0
Loudon	1	0	0	0
Haywood	0	0	0	0
Williamson	53	0	0	0
Cannon	0	0	0	0
Van Buren	0	0	0	0
Giles	0	0	0	0
Knox	12	0	0	0
Decatur	0	0	0	0
Tipton	6	0	0	0
Benton	0	0	0	0
Pickett	0	0	0	0
Morgan	0	0	0	0
Unicoi	0	0	0	0
Stewart	0	0	0	0
Houston	1	0	0	0
Fentress	0	0	0	0
Carter	0	0	0	0
Cocke	1	0	0	0
Lewis	0	0	0	0
Out of TN	89	0	0	0
Scott	1	0	0	0
Monroe	2	0	0	0
