Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Canada	59.256	1.6e-06	59.256	1.6e-06	0.0	0.0	0.0	0.0
United States of America	23091.816	7.058e-05	46183.633	0.00014116	0.0	0.0	0.0	0.0
Cambodia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sri Lanka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Japan	3453.813	2.73e-05	6907.626	5.459e-05	0.0	0.0	0.0	0.0
South Korea	575.189	1.114e-05	1150.378	2.228e-05	0.0	0.0	0.0	0.0
France	193.612	2.89e-06	580.836	8.67e-06	0.0	0.0	0.0	0.0
Singapore	2.744	4.9e-07	6.859	1.22e-06	0.0	0.0	0.0	0.0
China	6695327.146	0.00480734	49796495.643	0.03575459	5523.645	3.97e-06	14562.337	1.046e-05
Vietnam	787.684	8.24e-06	1969.21	2.061e-05	0.0	0.0	0.0	0.0
Malaysia	43.139	1.36e-06	86.278	2.73e-06	0.0	0.0	0.0	0.0
Ivory Coast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Australia	26.95	1.08e-06	53.901	2.16e-06	0.0	0.0	0.0	0.0
Thailand	1039.905	1.498e-05	2079.811	2.996e-05	0.0	0.0	0.0	0.0
Taiwan	121.995	5.13e-06	243.99	1.026e-05	0.0	0.0	0.0	0.0
Nepal	34.04	1.21e-06	68.079	2.42e-06	0.0	0.0	0.0	0.0
Germany	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
