Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Anhui	990	6	984	0	1.96e-5	1.2e-7	2000	923.076923077	600	4e-5	1.84615384615e-5	1.2e-5	0	0	0	0
Tianjin	161	3	133	25	1.244e-5	2.3e-7	1000	461.538461538	300	7.66666666667e-5	3.53846153846e-5	2.3e-5	6	0	0	0
Shanghai	485	5	334	146	2.107e-5	2.2e-7	1666.66666667	769.230769231	500	7.33333333333e-5	3.38461538462e-5	2.2e-5	17	0	0	0
Xizang	1	0	1	0	3.3e-7	0	5	2	1.25	1.65e-6	6.6e-7	4.125e-7	0	0	0	0
Nei Mongol	94	1	74	19	3.8e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	2	0	0	0
Gansu	136	2	125	9	5.32e-6	8e-8	666.666666667	307.692307692	200	2.66666666667e-5	1.23076923077e-5	8e-6	0	0	0	0
Hebei	319	6	310	3	4.44e-6	8e-8	2000	923.076923077	600	2.66666666667e-5	1.23076923077e-5	8e-6	0	0	0	0
Hainan	168	6	168	-6	1.814e-5	6.5e-7	2000	923.076923077	600	2.16666666667e-4	1e-4	6.5e-5	0	0	0	0
Yunnan	180	2	172	6	3.92e-6	4e-8	666.666666667	307.692307692	200	1.33333333333e-5	6.15384615385e-6	4e-6	0	0	0	0
Xinjiang Uygur	76	3	73	0	3.48e-6	1.4e-7	1000	461.538461538	300	4.66666666667e-5	2.15384615385e-5	1.4e-5	0	0	0	0
Hubei	67801	3177	62098	2526	0.00118455	5.551e-5	1059000	488769.230769	317700	0.0185033333333	0.00854	0.005551	0	3	0	0
Zhejiang	1251	1	1225	25	2.298e-5	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	4	0	0	0
Heilongjiang	484	13	469	2	1.263e-5	3.4e-7	4333.33333333	2000	1300	1.13333333333e-4	5.23076923077e-5	3.4e-5	0	0	0	0
Jiangxi	936	1	934	1	2.1e-5	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	0	0	0	0
Hong Kong	561	4	112	445	7.945e-5	5.7e-7	1333.33333333	615.384615385	400	1.9e-4	8.76923076923e-5	5.7e-5	42	0	0	0
Chongqing	578	6	570	2	2.004e-5	2.1e-7	2000	923.076923077	600	7e-5	3.23076923077e-5	2.1e-5	0	0	0	0
Shaanxi	253	3	242	8	6.78e-6	8e-8	1000	461.538461538	300	2.66666666667e-5	1.23076923077e-5	8e-6	0	0	0	0
Jiangsu	641	0	631	10	8.15e-6	0	3205	1282	801.25	4.075e-5	1.63e-5	1.01875e-5	0	0	0	0
Henan	1275	22	1251	2	1.356e-5	2.3e-7	7333.33333333	3384.61538462	2200	7.66666666667e-5	3.53846153846e-5	2.3e-5	0	0	0	0
Guizhou	146	2	144	0	4.08e-6	6e-8	666.666666667	307.692307692	200	2e-5	9.23076923077e-6	6e-6	0	0	0	0
Fujian	337	1	295	41	9.13e-6	3e-8	333.333333333	153.846153846	100	1e-5	4.61538461538e-6	3e-6	6	0	0	0
Hunan	1018	4	1014	0	1.55e-5	6e-8	1333.33333333	615.384615385	400	2e-5	9.23076923077e-6	6e-6	0	0	0	0
Beijing	573	8	410	155	2.922e-5	4.1e-7	2666.66666667	1230.76923077	800	1.36666666667e-4	6.30769230769e-5	4.1e-5	4	0	0	0
Shandong	772	7	752	13	7.72e-6	7e-8	2333.33333333	1076.92307692	700	2.33333333333e-5	1.07692307692e-5	7e-6	0	0	0	0
Macau	37	0	10	27	6.697e-5	0	185	74	46.25	3.3485e-4	1.3394e-4	8.37125e-5	4	0	0	0
Guangxi	254	2	250	2	5.52e-6	4e-8	666.666666667	307.692307692	200	1.33333333333e-5	6.15384615385e-6	4e-6	0	0	0	0
Qinghai	18	0	18	0	3.2e-6	0	90	36	22.5	1.6e-5	6.4e-6	4e-6	0	0	0	0
Jilin	97	1	92	4	3.53e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	2	0	0	0
Sichuan	548	3	536	9	6.81e-6	4e-8	1000	461.538461538	300	1.33333333333e-5	6.15384615385e-6	4e-6	0	0	0	0
Liaoning	132	2	124	6	3.02e-6	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	4	0	0	0
Guangdong	1467	8	1341	118	1.313e-5	7e-8	2666.66666667	1230.76923077	800	2.33333333333e-5	1.07692307692e-5	7e-6	11	0	0	0
Ningxia Hui	75	0	75	0	1.214e-5	0	375	150	93.75	6.07e-5	2.428e-5	1.5175e-5	0	0	0	0
Shanxi	135	0	133	2	3.7e-6	0	675	270	168.75	1.85e-5	7.4e-6	4.625e-6	0	0	0	0
